"X.1","X","LabID","weighted_mean","long","lat","Material"
2349,2349,"BETA-326856",1647.45862626907,9.9141,61.5668,"Charcoal"
2350,2350,"BETA-326857",3558.87030725358,9.9141,61.5668,"Charcoal"
2351,2351,"BETA-326858",1461.11625340455,9.9141,61.5668,"Charcoal"
2352,2352,"BETA-326859",1778.3451825187,9.9141,61.5668,"Charcoal"
2353,2353,"BETA-326860",1647.45862626907,9.9141,61.5668,"Charcoal"
2564,2564,"Beta-322380",2030.66238917076,9.9141,61.5668,"Charcoal"
2565,2565,"Beta-322381",1472.87767324341,9.9141,61.5668,"Charcoal"
2566,2566,"Beta-322382",1698.59460403661,9.9141,61.5668,"Charcoal"
2567,2567,"Beta-322383",1607.78805367341,9.9141,61.5668,"Charcoal"
2568,2568,"Beta-322384",1607.78805367341,9.9141,61.5668,"Charcoal"
2569,2569,"Beta-322385",1438.63264823942,9.9141,61.5668,"Charcoal"
2570,2570,"Beta-322386",1504.12115087365,9.9141,61.5668,"Charcoal"
2571,2571,"Beta-322387",3590.92084170459,9.9141,61.5668,"Charcoal"
2572,2572,"Beta-322388",1632.35782568999,9.9141,61.5668,"Charcoal"
2573,2573,"Beta-322389",1671.27363562365,9.9141,61.5668,"Charcoal"
2585,2585,"Beta-365414",532.887670057786,9.895807,61.569751,"Seed"
2586,2586,"Beta-365521",1615.96733628783,9.895807,61.569751,"Charcoal"
2587,2587,"Beta-365522",1983.70385093652,9.86,61.55,"Charcoal"
2588,2588,"Beta-365523",1038.5268703537,9.86,61.55,"Charcoal"
2589,2589,"Beta-365524",1383.38412804663,9.86,61.55,"Charcoal"
2651,2651,"Beta-74645",3978.04800011163,7.147255,61.91441,"charcoal"
2652,2652,"Beta-74646",4036.25588114145,7.147255,61.91441,"charcoal"
2653,2653,"Beta-78028",4132.52785332483,7.147255,61.91441,"grain"
2993,2993,"Lus-12396",626.650619522844,9.205104,60.31874,"charcoal"
2994,2994,"Lus-12397",825.920265294487,9.205104,60.31874,"charcoal"
2995,2995,"Lus-12398",588.708734343841,9.205104,60.31874,"charcoal"
2996,2996,"Lus-12399",821.037396997678,9.205104,60.31874,"charcoal"
2997,2997,"Lus-12400",615.345064884351,9.205104,60.31874,"charcoal"
2998,2998,"Lus-12401",673.266811338036,9.205104,60.31874,"charcoal"
2999,2999,"Lus-12402",766.187287809084,9.205104,60.31874,"charcoal"
3028,3028,"Lus-12493",1612.39943388456,8.41,61.22,"charcoal"
3029,3029,"Lus-12494",7815.52822172859,8.41,61.22,"charcoal"
3030,3030,"Lus-12495",1612.39943388456,8.41,61.22,"charcoal"
3031,3031,"Lus-12496",1690.522789967,8.41,61.22,"charcoal"
3032,3032,"Lus-12497",1442.80113682669,8.41,61.22,"charcoal"
3033,3033,"Lus-12498",1461.88589422951,8.41,61.22,"charcoal"
3034,3034,"Lus-12499",1634.44554444497,8.41,61.22,"charcoal"
3035,3035,"Lus-12500",764.194794662776,8.41,61.22,"charcoal"
3036,3036,"Lus-12501",1608.46737695423,8.41,61.22,"charcoal"
3037,3037,"Lus-12502",1456.52623372472,8.41,61.22,"charcoal"
3038,3038,"Lus-12503",1461.88589422951,8.41,61.22,"charcoal"
3039,3039,"Lus-12504",1469.71207792887,8.41,61.22,"charcoal"
3040,3040,"Lus-12505",1450.32937123315,8.41,61.22,"charcoal"
3205,3205,"Lus-13255",1051.61237133364,8.04,60.59,"charcoal"
3206,3206,"Lus-13256",810.742281828223,8.04,60.59,"charcoal"
3207,3207,"Lus-13257",794.14966268115,8.04,60.59,"charcoal"
3208,3208,"Lus-13258",815.748972104541,8.04,60.59,"charcoal"
3209,3209,"Lus-13259",1115.2514629942,8.04,60.59,"charcoal"
3210,3210,"Lus-13260",853.624363910976,8.04,60.59,"macrofossil"
3356,3356,"Lus-13487",1036.4843315068,9.094062,60.567473,"charcoal"
3357,3357,"Lus-13488",1873.97346375163,9.094062,60.567473,"charcoal"
3358,3358,"Lus-13489",1022.06180359674,9.094062,60.567473,"charcoal"
3359,3359,"Lus-13490",854.237579387369,9.094062,60.567473,"charcoal"
3360,3360,"Lus-13491",850.015325581542,9.094062,60.567473,"charcoal"
3361,3361,"Lus-13492",815.711786779437,9.094062,60.567473,"charcoal"
3362,3362,"Lus-13493",845.739419887396,9.094062,60.567473,"charcoal"
3366,3366,"Lus-13506",996.558802771284,9.872806,61.127671,"Charcoal"
3367,3367,"Lus-13507",256.302805931528,9.872806,61.127671,"Charcoal"
3368,3368,"Lus-13508",862.350718591662,9.872806,61.127671,"Charcoal"
3369,3369,"Lus-13520",1438.74280926646,9.099985,62.087075,"charcoal"
3370,3370,"Lus-13521",2592.14739627503,9.099985,62.087075,"charcoal"
3372,3372,"Lus-13523",8800.98764621764,9.365432,61.478452,"Burned bone"
3373,3373,"Lus-13524",8521.08487426838,9.365432,61.478452,"Burned bone"
3374,3374,"Lus-13525",8517.04272470771,9.365432,61.478452,"Burned bone"
3375,3375,"Lus-13526",8214.68690705119,9.010917,61.347036,"Burned bone"
3376,3376,"Lus-13527",4361.06542691315,9.010917,61.347036,"Burned bone"
3377,3377,"Lus-13528",4694.99901522762,9.010917,61.347036,"Burned bone"
3378,3378,"Lus-13529",7721.68965633185,9.010917,61.347036,"Burned bone"
3379,3379,"Lus-13530",8408.22066391917,9.010917,61.347036,"Burned bone"
3380,3380,"Lus-13531",5722.13177837456,9.010917,61.347036,"Burned bone"
3381,3381,"Lus-13532",6668.24299225169,9.010917,61.347036,"Burned bone"
3382,3382,"Lus-13533",5048.2909769778,9.010917,61.347036,"Burned bone"
3383,3383,"Lus-13534",7646.84658895955,9.010917,61.347036,"Burned bone"
3384,3384,"Lus-13535",3041.60764326432,9.010917,61.347036,"charcoal"
3406,3406,"Lus-13633",4010.50626571704,9.010917,61.347036,"charcoal"
3407,3407,"Lus-13634",366.778360141493,9.026294,61.341973,"wood"
3463,3463,"Lus-14008",318.836484164776,8.04,60.59,"charcoal"
3464,3464,"Lus-14009",736.925537873424,8.04,60.59,"charcoal"
3465,3465,"Lus-14010",689.2625056897,8.04,60.59,"Burned bone"
3466,3466,"Lus-14011",579.667007948801,8.04,60.59,"charcoal"
3467,3467,"Lus-14012",611.31927622834,8.04,60.59,"charcoal"
3474,3474,"Lus-14046",595.14040586596,8.2818,60.5721,"charcoal"
3475,3475,"Lus-14047",593.279934452244,8.2818,60.5721,"charcoal"
3476,3476,"Lus-14048",677.937113267349,8.2818,60.5721,"charcoal"
3477,3477,"Lus-14049",698.333847798,8.2818,60.5721,"charcoal"
3478,3478,"Lus-14050",706.057883799837,8.2818,60.5721,"charcoal"
3479,3479,"Lus-14051",588.708734343841,8.2818,60.5721,"charcoal"
3480,3480,"Lus-14052",686.017492662636,8.2818,60.5721,"charcoal"
3481,3481,"Lus-14053",571.322020491702,8.2818,60.5721,"charcoal"
3482,3482,"Lus-14054",758.329748931531,8.2818,60.5721,"charcoal"
3483,3483,"Lus-14055",1132.47831107645,8.2818,60.5721,"charcoal"
3484,3484,"Lus-14056",708.314629150791,8.2818,60.5721,"charcoal"
3485,3485,"Lus-14057",766.187287809084,8.2818,60.5721,"charcoal"
3486,3486,"Lus-14058",710.783025981657,8.2818,60.5721,"charcoal"
3487,3487,"Lus-14059",708.506999924464,8.2818,60.5721,"charcoal"
3488,3488,"Lus-14060",748.383265982356,8.2818,60.5721,"charcoal"
3489,3489,"Lus-14061",7352.93473560693,9.465045,60.332357,"charcoal"
3490,3490,"Lus-14062",7052.06049485129,9.465045,60.332357,"charcoal"
3491,3491,"Lus-14063",9327.74063798804,9.465045,60.332357,"charcoal"
3492,3492,"Lus-14064",6635.08868305951,9.465045,60.332357,"charcoal"
3493,3493,"Lus-14065",2294.71748842734,9.508187,60.337722,"charcoal"
3494,3494,"Lus-14066",9112.67809555767,9.465045,60.332357,"charcoal"
3495,3495,"Lus-14067",6141.74075978314,9.465045,60.332357,"Charcoal"
3496,3496,"Lus-14068",1179.4555935613,9.508187,60.337722,"Charcoal"
3574,3574,"Lus-14256",638.309724954699,8.488745,60.872953,"charcoal"
3575,3575,"Lus-14257",692.383621991136,8.488745,60.872953,"charcoal"
3580,3580,"Lus-14262",1456.52623372472,8.04,60.59,"charcoal"
3581,3581,"Lus-14263",716.536741343245,8.04,60.59,"charcoal"
3616,3616,"T-10032",765.486973149807,8.916667,61.25,"Charcoal"
3617,3617,"T-10033",688.852089319423,8.916667,61.25,"Charcoal"
3618,3618,"T-10034",1350.52477379479,8.816667,60.316667,"Charcoal"
3619,3619,"T-10035",1400.92043861491,8.816667,60.316667,"Charcoal"
3634,3634,"T-10180",703.523080990961,8.233333,60.533333,"Charcoal"
3665,3665,"T-10267",1753.83154872014,8.883333,61.216667,"Charcoal"
3666,3666,"T-10268",1734.95422586203,8.883333,61.216667,"Charcoal"
3690,3690,"T-10395",6162.74716307823,8.833333,62.233333,"Charcoal"
3942,3942,"T-11630",2165.2234014123,8.966667,61.1,"Charcoal"
3943,3943,"T-11631",3137.84622047314,8.966667,61.1,"Charcoal"
4094,4094,"T-12473",553.359279549603,8.15,60.533333,"Charcoal"
4095,4095,"T-12474",560.891827679008,8.15,60.533333,"Charcoal"
4096,4096,"T-12475",539.712048275631,8.15,60.533333,"Charcoal"
4097,4097,"T-12476",636.696240529527,8.15,60.533333,"Charcoal"
4254,4254,"T-13023",1996.89797520758,8.15,60.516667,"Charcoal"
4255,4255,"T-13024",668.997570870745,8.15,60.516667,"Charcoal"
4256,4256,"T-13025",1375.81169517601,8.166667,60.533333,"Charcoal"
4257,4257,"T-13026",419.998159990236,8.133333,60.55,"Charcoal"
4258,4258,"T-13027",540.248417842074,8.133333,60.55,"Charcoal"
4259,4259,"T-13028",559.034135462995,8.133333,60.55,"Charcoal"
4260,4260,"T-13029",573.458081068557,8.133333,60.55,"Charcoal"
4261,4261,"T-13030",623.504244924226,8.133333,60.55,"Charcoal"
4276,4276,"T-13091",143.654212275733,8.3,60.616667,"Charcoal"
4286,4286,"T-13125",1018.16597129601,8.166667,60.533333,"Charcoal"
4342,4342,"T-13369",586.39753517552,9.883333,61.583333,"Charcoal"
4343,4343,"T-13370",657.868124655797,9.883333,61.583333,"Charcoal"
4344,4344,"T-13371",593.677318413724,9.883333,61.583333,"Charcoal"
4375,4375,"T-13538",838.665921332232,9.716667,61.6,"Charcoal"
4376,4376,"T-13539",482.242798288705,9.716667,61.6,"Charcoal"
4377,4377,"T-13540",628.527130057826,9.716667,61.6,"Charcoal"
4378,4378,"T-13541",659.59250632291,9.716667,61.6,"Charcoal"
4379,4379,"T-13542",900.85075303041,9.716667,61.6,"Charcoal"
4383,4383,"T-13575",1848.99578074117,9.216667,60.166667,"Charcoal"
4384,4384,"T-13576",1718.32814706999,9.216667,60.166667,"Charcoal"
4385,4385,"T-13577",1621.24087278041,9.216667,60.166667,"Charcoal"
4404,4404,"T-13700",766.721103274864,8.133333,60.516667,"Charcoal"
4405,4405,"T-13701",993.384246495718,8.133333,60.516667,"Charcoal"
4406,4406,"T-13702",831.179446990737,8.133333,60.516667,"Charcoal"
4418,4418,"T-13811",802.896758102243,9.4,60.733333,"Charcoal"
4419,4419,"T-13812",705.073249744692,9.4,60.733333,"Charcoal"
4420,4420,"T-13867",811.824756392815,9.166667,60.533333,"Charcoal"
4421,4421,"T-13879",1289.43910790678,8.166667,60.533333,"Charcoal"
4422,4422,"T-13880",1382.54923881706,8.166667,60.533333,"Charcoal"
4423,4423,"T-13881",718.919114383842,8.166667,60.533333,"Charcoal"
4428,4428,"T-14014",843.798442972651,9.166667,60.033333,"Charcoal"
4436,4436,"T-14165",1251.22846064957,9.4,61.883333,"Charcoal"
4437,4437,"T-14166",421.243958686366,9.4,61.883333,"Charcoal"
4486,4486,"T-14294",617.08927404982,8.1,60.516667,"Charcoal"
4487,4487,"T-14295",695.76185645319,8.1,60.516667,"Charcoal"
4488,4488,"T-14296",603.860849501352,9.166667,60.05,"Charcoal"
4489,4489,"T-14297",161.364487934842,9.166667,60.05,"Charcoal"
4490,4490,"T-14298",178.465205694786,9.166667,60.05,"Charcoal"
4492,4492,"T-14315",563.871204337423,8.1,60.516667,"Charcoal"
4524,4524,"T-1445",4203.86725509639,8.283333,60.083333,"Charcoal"
4532,4532,"T-14459",776.313563530038,8.516667,60.866667,"Charcoal"
4533,4533,"T-14460",776.946798556014,8.516667,60.866667,"Charcoal"
4534,4534,"T-14461",760.020573817479,8.516667,60.866667,"Charcoal"
4535,4535,"T-14462",776.739130347153,8.516667,60.866667,"Charcoal"
4536,4536,"T-14463",855.028622924447,8.516667,60.866667,"Charcoal"
4538,4538,"T-14478",845.244412914916,8.666667,60.716667,"Charcoal"
4539,4539,"T-14479",841.902544292173,8.666667,60.716667,"Charcoal"
4547,4547,"T-1450",3143.31410883831,8.283333,60.083333,"Charcoal"
4548,4548,"T-1451",585.929512292983,8.283333,60.083333,"Charcoal"
4549,4549,"T-1452",2484.40359962411,8.283333,60.083333,"Charcoal"
4576,4576,"T-15037",672.231845634849,8.733333,60.65,"Charcoal"
4578,4578,"T-15039",335.728524277458,8.366667,60.683333,"Charcoal"
4579,4579,"T-15040",379.359402391177,8.366667,60.683333,"Charcoal"
4580,4580,"T-15041",165.25809902675,8.333333,60.583333,"Charcoal"
4581,4581,"T-15042",144.217780940125,8.333333,60.583333,"Charcoal"
4661,4661,"T-15359",3213.13123354686,5.49,60.45,"Charcoal"
4662,4662,"T-15360",6016.4421649859,5.49,60.45,"Charcoal"
4663,4663,"T-15361",1121.63309298152,5.49,60.45,"Charcoal"
4696,4696,"T-15932",1618.21738231746,8.583333,61.116667,"Charcoal"
4699,4699,"T-1609",1624.57636603121,8.283333,60.083333,"Charcoal"
4700,4700,"T-1610",8894.06097405698,8.283333,60.083333,"Charcoal"
4736,4736,"T-16973",11022.6808436978,6.9,62.7833,"Betula charcoal from lower part of hearth"
4738,4738,"T-1709",1830.03527414396,8.283333,60.083333,"Charcoal"
4739,4739,"T-1710",1582.24527063681,8.283333,60.083333,"Charcoal"
4843,4843,"T-19093",2265.53907869538,8.233333,61.933333,"Charcoal"
4844,4844,"T-19094",1875.34720214506,8.233333,61.933333,"Charcoal"
4845,4845,"T-19095",138.859339353164,8.233333,61.933333,"Wood"
4846,4846,"T-19096",473.75630761973,8.233333,61.933333,"Wood"
4847,4847,"T-19097",608.835937632185,8.233333,61.933333,"Wood"
4897,4897,"T-2083",10922.7766856659,9.8406,63.2874,"charcoal"
4901,4901,"T-215",9112.97795135133,7.966667,60.833333,"Charcoal"
4944,4944,"T-256",5639.57549607636,7.966667,60.833333,"Charcoal"
4945,4945,"T-257",6401.99555703544,7.966667,60.833333,"Charcoal"
4981,4981,"T-323",8490.71446143284,7.5,60.583333,"Charcoal"
4995,4995,"T-3479",345.934140704866,9.416667,61.833333,"Wood"
4996,4996,"T-3480",131.573577650501,9.416667,61.833333,"Wood"
5004,5004,"T-3619",1994.20979453743,7.783333,60.8,"Charcoal"
5005,5005,"T-3620",7652.9403032759,7.783333,60.8,"Charcoal"
5006,5006,"T-3621",7778.94950649882,7.783333,60.8,"Charcoal"
5018,5018,"T-4036",1025.59648601289,8.533333,61.716667,"Wood"
5019,5019,"T-4037",859.780938088588,8.533333,61.716667,"Wood"
5022,5022,"T-4041",738.4121137696,9.916667,61.616667,"Birchbark"
5025,5025,"T-4144",601.340955989156,9.1,62.033333,"Charcoal"
5027,5027,"T-4243",829.668519119349,8.883333,61.133333,"Charcoal"
5028,5028,"T-4244",777.712934959648,8.883333,61.133333,"Charcoal"
5029,5029,"T-4245",2602.14704967276,8.883333,61.133333,"Charcoal"
5030,5030,"T-4246",510.527536597772,8.883333,61.133333,"Charcoal"
5031,5031,"T-4247",377.280397170076,8.883333,61.133333,"Charcoal"
5032,5032,"T-4248",847.881724073727,8.916667,61.166667,"Charcoal"
5033,5033,"T-4249",247.705661301644,8.916667,61.166667,"Charcoal"
5034,5034,"T-4250",767.902636532339,8.883333,61.133333,"Charcoal"
5035,5035,"T-4251",986.609204093702,8.883333,61.133333,"Charcoal"
5036,5036,"T-4268",1381.36051096501,8.833333,62.05,"Wood"
5039,5039,"T-4352",527.599908125532,9.75,62.166667,"Charcoal"
5041,5041,"T-4354",384.688390193182,9.75,62.083333,"Charcoal"
5050,5050,"T-4495",3980.13837160498,8.012396,61.16418,""
5051,5051,"T-4567",1035.01372916548,8.666667,61.516667,"Wood"
5076,5076,"T-4744",496.473827811566,8.883333,61.133333,"Charcoal"
5077,5077,"T-4745",425.7659508957,8.883333,61.133333,"Charcoal"
5078,5078,"T-4746",1281.2072367104,8.883333,61.133333,"Charcoal"
5079,5079,"T-4747",618.884285647771,8.883333,61.133333,"Charcoal"
5080,5080,"T-4749",1265.36778547357,8.883333,61.133333,"Charcoal"
5081,5081,"T-4750",1424.68695618628,8.883333,61.133333,"Charcoal"
5082,5082,"T-4751",2901.16932902036,8.883333,61.133333,"Charcoal"
5083,5083,"T-4752",1799.59263101704,8.883333,61.133333,"Charcoal"
5084,5084,"T-4753",1196.14211752149,8.883333,61.133333,"Charcoal"
5086,5086,"T-4779",3757.506407368,7.741926,61.15995,"charcoal"
5087,5087,"T-4780",4135.43035334545,7.742443,61.16066,""
5088,5088,"T-4781",4034.04407678175,7.742443,61.16066,""
5089,5089,"T-4788",2609.63722677934,7.69578,61.15991,""
5122,5122,"T-5174",1335.76909268947,9.55,61.81,"Wood"
5127,5127,"T-5562",2503.16659055459,7.821691,61.25847,""
5128,5128,"T-5563",2283.2719217065,7.821691,61.25847,""
5129,5129,"T-5566",2492.57564828858,7.706785,61.16662,""
5130,5130,"T-5567",2418.68061418836,7.706785,61.16662,""
5132,5132,"T-5602",2236.15622115755,7.821691,61.25847,""
5166,5166,"T-5766",626.840701980758,9.95,61.166667,"Charcoal"
5167,5167,"T-5767",800.726757689502,9.95,61.166667,"Charcoal"
5168,5168,"T-5768",613.963087871713,9.95,61.166667,"Charcoal"
5169,5169,"T-5769",735.078168940584,9.28,60.96,"Charcoal"
5170,5170,"T-5770",793.31059280765,9.28,60.96,"Charcoal"
5171,5171,"T-5771",633.262958147985,9.28,60.96,"Charcoal"
5172,5172,"T-5772",761.181375829539,9.28,60.96,"Charcoal"
5174,5174,"T-5860",2546.85830380559,7.742311,61.16223,""
5175,5175,"T-5861",2520.16789117088,7.742311,61.16223,""
5176,5176,"T-5863",2559.21249056545,7.742311,61.16223,""
5177,5177,"T-5864",2535.81993978539,7.742311,61.16223,""
5178,5178,"T-5918",604.690573836121,9.99,60.95,"Charcoal"
5179,5179,"T-5919",624.237531180964,9.99,60.95,"Charcoal"
5180,5180,"T-5920",607.541147618875,9.99,60.95,"Charcoal"
5181,5181,"T-5921",420.754630588745,9.99,60.95,"Charcoal"
5183,5183,"T-5923",894.124579965916,9.99,60.95,"Charcoal"
5184,5184,"T-6048",1218.58993381815,9.4,61.98,"bone"
5185,5185,"T-6049",1273.31376687662,9.4,61.98,"bone"
5186,5186,"T-6050",707.48555287371,9.4,61.98,"Wood"
5192,5192,"T-6062",2568.16958465558,7.742311,61.16223,""
5193,5193,"T-6064",2394.92637882396,7.742311,61.16223,""
5194,5194,"T-6065",2481.78574667826,7.742311,61.16223,""
5195,5195,"T-6066",2950.1938584787,7.75074,61.16239,""
5196,5196,"T-6067",2831.82112083595,7.75074,61.16239,""
5197,5197,"T-6068",2236.15622115755,7.748053,61.16188,""
5202,5202,"T-6100",2553.02849781354,7.744391,61.16052,""
5203,5203,"T-6105",2519.49959649185,7.742657,61.16334,""
5204,5204,"T-6106",2579.0983299028,7.742657,61.16334,""
5205,5205,"T-6212",2511.99596182402,7.744682,61.16292,""
5225,5225,"T-6463",1120.88189854132,9.4,61.98,"Charcoal"
5226,5226,"T-6464",827.839994252858,9.4,61.98,"Charcoal"
5231,5231,"T-6504",1252.21104582994,9.39,62.08,"Peat"
5232,5232,"T-6505",737.462528971072,9.39,62.08,"Peat"
5234,5234,"T-6629",2813.31598112201,7.851562,61.25012,""
5235,5235,"T-6639",2511.99596182402,7.840154,61.25455,""
5236,5236,"T-6640",2688.18037346947,7.840154,61.25455,""
5249,5249,"T-6683",327.834277240759,8.733333,60.266667,"Wood"
5273,5273,"T-685",1091.59051349583,9,62.25,"Charcoal"
5274,5274,"T-686",1072.63347189233,9,62.25,"Charcoal"
5275,5275,"T-6874",2799.94340705943,7.807714,61.25517,""
5276,5276,"T-6875",2492.57564828858,7.807714,61.25517,""
5278,5278,"T-696",4242.58127772341,7.666667,60.75,"Charcoal"
5279,5279,"T-697",1771.49800799432,7.666667,60.666667,"Charcoal"
5312,5312,"T-7156",3513.91981524724,7.851562,61.25012,""
5313,5313,"T-7157",3332.50244570676,7.851562,61.25012,""
5314,5314,"T-7163",2857.38978973888,7.828804,61.24352,""
5316,5316,"T-7221",824.76713873359,9.4,61.98,"Charcoal"
5317,5317,"T-7222",1070.60120874962,9.4,61.98,"Charcoal"
5318,5318,"T-7223",720.402962641346,9.4,61.98,"Charcoal"
5319,5319,"T-7224",727.991363847304,9.4,61.98,"Wood"
5320,5320,"T-7225",1316.10421974301,9.4,61.98,"Charcoal"
5321,5321,"T-7226",863.143545543699,9.45,62.033333,"Charcoal"
5322,5322,"T-7227",1463.78572620528,9.4,61.98,"Birchbark"
5323,5323,"T-7251",2533.93766894766,7.744391,61.16052,""
5331,5331,"T-7299",390.785811861253,9.0965,60.5678,"bone"
5335,5335,"T-7382",795.375420304775,9.3,61,"Charcoal"
5336,5336,"T-7383",700.564521613125,9.3,61,"Charcoal"
5340,5340,"T-7400",1402.53362229581,9.95,61.166667,"Charcoal"
5341,5341,"T-7401",131.504575990694,9.95,61.166667,"Charcoal"
5342,5342,"T-7402",661.112405495934,9.95,61.166667,"Charcoal"
5343,5343,"T-7403",1165.46111980028,9.95,61.166667,"Charcoal"
5344,5344,"T-7404",532.326715416385,9.95,61.166667,"Charcoal"
5347,5347,"T-7425",777.055593117811,9.3,60.65,"Wood"
5350,5350,"T-7479",269.991838079984,9.1,60.566667,"Charcoal"
5351,5351,"T-7486",629.147677444988,9.95,61.166667,"Charcoal"
5352,5352,"T-7487",339.052737980835,9.95,61.166667,"Charcoal"
5353,5353,"T-7488",720.578451744634,9.95,61.166667,"Charcoal"
5354,5354,"T-7489",560.230390645437,9.95,61.166667,"Wood"
5355,5355,"T-7491",680.326381426324,9.95,61.166667,"Charcoal"
5356,5356,"T-7492",817.741509212903,9.95,61.166667,"Charcoal"
5357,5357,"T-7494",756.321380070299,9.95,61.166667,"Charcoal"
5358,5358,"T-7495",677.000267784158,9.95,61.166667,"Charcoal"
5359,5359,"T-7496",598.472592650221,9.95,61.166667,"Charcoal"
5360,5360,"T-7497",626.840701980758,9.95,61.166667,"Charcoal"
5361,5361,"T-7498",675.002344403061,9.95,61.166667,"Charcoal"
5362,5362,"T-7499",814.689757856097,9.95,61.166667,"Charcoal"
5363,5363,"T-7500",665.059687221776,9.95,61.166667,"Charcoal"
5364,5364,"T-7501",675.145470258888,9.95,61.166667,"Charcoal"
5365,5365,"T-7502",703.359068692461,9.95,61.166667,"Charcoal"
5366,5366,"T-7503",498.808380061346,9.95,61.166667,"Charcoal"
5367,5367,"T-7504",793.31059280765,9.95,61.166667,"Charcoal"
5371,5371,"T-7685",3293.10301035274,7.917555,61.28506,"charcoal"
5372,5372,"T-7686",3923.27137979852,7.917555,61.28506,"charcoal"
5373,5373,"T-7687",1042.65325676398,9.95,61.166667,"Charcoal"
5374,5374,"T-7688",581.289451672002,9.95,61.166667,"Charcoal"
5375,5375,"T-7689",590.433175956129,9.95,61.166667,"Charcoal"
5376,5376,"T-7690",609.472466412349,9.95,61.166667,"Charcoal"
5377,5377,"T-7691",564.830973769137,9.95,61.166667,"Charcoal"
5378,5378,"T-7694",300.25377873904,9.95,61.166667,"Charcoal"
5379,5379,"T-7695",224.168677450534,9.95,61.166667,"Charcoal"
5380,5380,"T-7696",684.822262671752,9.95,61.166667,"Charcoal"
5381,5381,"T-7698",1041.05807947386,9.95,61.166667,"Charcoal"
5382,5382,"T-7699",377.01732123592,9.95,61.166667,"Charcoal"
5383,5383,"T-7700",809.058056971941,9.95,61.166667,"Charcoal"
5384,5384,"T-7703",6185.43148686071,9.95,61.166667,"Charcoal"
5385,5385,"T-7704",4446.31037911767,9.95,61.166667,"Charcoal"
5386,5386,"T-7705",5876.86169700909,9.95,61.166667,"Charcoal"
5387,5387,"T-7706",6326.6921318454,9.95,61.166667,"Charcoal"
5388,5388,"T-7707",5569.62537181415,9.95,61.166667,"Charcoal"
5389,5389,"T-7708",5573.3010914927,9.95,61.166667,"Charcoal"
5390,5390,"T-7709",5633.65128401825,9.95,61.166667,"Charcoal"
